Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	8	1.5	0.09562782	0.035	0.938
2021	8	2	0.09100637	0.065	0.94
2021	8	2.5	0.0328464	0.067	0.938
2021	8	3	0.08493368	0.057	0.939
2021	8	3.5	0.09199415	0.086	0.938
2021	8	4	0.07855815	0.059	0.938
2021	8	4.5	0.08493368	0.065	0.936
2021	8	5	-0.0024289	0.062	0.938
2021	8	5.5	0.09805132	0.054	0.941
2021	8	6	0.0848194	0.061	0.941
2021	8	6.5	0.0963413	0.063	0.94
2021	8	7	0.1457172	0.085	0.938
2021	8	7.5	0.13609897	0.073	0.935
2021	8	8	-0.01836052	0.073	0.937
2021	8	8.5	-0.6253045	0.086	0.939
2021	8	9	0.00886008	0.412	0.939
2021	8	9.5	-0.0475236	1.869	0.938
2021	8	10	-0.02567355	4.746	0.937
2021	8	10.5	0.00386438	8.11	0.938
2021	8	11	0.05221736	12.84	0.935
2021	8	11.5	-0.01717268	14.54	0.939
2021	8	12	0.02221263	13.68	0.935
2021	8	12.5	0.02279744	14.41	0.938
2021	8	13	0.02668287	11.18	0.94
2021	8	13.5	0.04262217	8.16	0.938
2021	8	14	0.0170853	5.129	0.938
2021	8	14.5	0.0251078	2.401	0.936
2021	8	15	0.04707513	0.595	0.937
2021	8	15.5	0.06742781	0.113	0.937
2021	8	16	0.0501246	0.066	0.934
2021	8	16.5	0.05192226	0.049	0.938
2021	8	17	0.04862205	0.075	0.939
2021	8	17.5	-0.060569	0.097	0.94
2021	8	18	0.05239853	0.093	0.939
2021	8	18.5	0.0510764	0.18	0.937
2021	8	19	0.05329456	0.189	0.937
2021	8	19.5	0.04700166	0.161	0.937
2021	8	20	0.04961864	0.158	0.938
2021	8	20.5	0.07723948	0.21	0.937
2021	8	21	0.07668436	0.234	0.937
2021	8	21.5	0.07590222	0.2	0.936
2021	8	22	0.07922193	0.196	0.937
2021	8	22.5	0.08230814	0.228	0.938
2021	8	23	0.0714593	0.228	0.938
2021	8	23.5	0.09921681	0.211	0.938
2021	9	0	0.09718499	0.179	0.937
2021	9	0.5	0.0903556	0.209	0.937
2021	9	1	0.12252831	0.191	0.938
2021	9	1.5	0.10734545	0.215	0.936
2021	9	2	0.1027202	0.239	0.937
2021	9	2.5	0.0509243	0.244	0.937
2021	9	3	0.10602596	0.212	0.937
2021	9	3.5	0.1476496	0.236	0.938
2021	9	4	0.11170496	0.227	0.937
2021	9	4.5	0.11740229	0.233	0.938
2021	9	5	0.0364423	0.2	0.937
2021	9	5.5	0.1275887	0.239	0.936
2021	9	6	0.2092292	0.238	0.937
2021	9	6.5	0.22633763	0.221	0.937
2021	9	7	0.26226277	0.213	0.94
2021	9	7.5	0.1118864	0.188	0.936
2021	9	8	0.0940649	0.182	0.939
2021	9	8.5	0.10552228	0.234	0.936
2021	9	9	0.10912016	0.56	0.937
2021	9	9.5	0.104599	1.937	0.937
2021	9	10	0.1718692	3.554	0.939
2021	9	10.5	0.1468255	6.998	0.938
2021	9	11	0.09463646	7.86	0.936
2021	9	11.5	0.1019259	12.37	0.937
2021	9	12	0.06827385	14.57	0.939
2021	9	12.5	0.16205683	14.57	0.936
