site,date,tair,tsoil_10cm,WTD,PARin
SE-Hmr,2021-09-09,8.738449409026774,11.42370027718268,-7.220721108408915,176.5970625
SE-Hmr,2021-09-10,7.568833333333333,10.3340625,-7.3031250000000085,287.364125
SE-Hmr,2021-09-11,8.548145833333333,10.568854166666666,-5.344791666666656,76.35285416666666
SE-Hmr,2021-09-12,9.302708333333333,10.750104166666667,-4.280208333333324,44.6238125
SE-Hmr,2021-09-13,6.853958333333333,9.9653125,-4.16562499999999,291.63927083333334
SE-Hmr,2021-09-14,5.7071250000000004,8.391104166666667,-5.411458333333323,308.6758541666667
SE-Hmr,2021-09-15,3.4499375,7.954166666666667,-6.1364583333333345,176.05452083333333
SE-Hmr,2021-09-16,5.102083333333333,8.1038125,-6.535416666666676,141.2860625
SE-Hmr,2021-09-17,4.6491875,8.323947916666667,-6.582291666666677,123.25158333333333
SE-Hmr,2021-09-18,4.973520833333334,8.150583333333334,-6.682291666666677,65.84772916666667
SE-Hmr,2021-09-19,6.232166666666666,8.114635416666667,-6.855208333333343,142.32958333333332
SE-Hmr,2021-09-20,4.306854166666667,8.20009375,-6.79062500000001,107.51541666666667
SE-Hmr,2021-09-21,4.217291666666667,7.8801875,-6.3958333333333375,70.58210416666667
SE-Hmr,2021-09-22,7.229395833333333,7.884541666666666,-5.0802083333333234,43.88158333333333
SE-Hmr,2021-09-23,7.817291666666667,8.446979166666667,-1.2864583333333264,26.932791666666667
SE-Hmr,2021-09-24,5.800416666666667,7.976447916666666,0.1916666666666715,33.63552083333333
SE-Hmr,2021-09-25,5.553708333333334,7.445625,-0.3864583333333286,109.6804375
SE-Hmr,2021-09-26,7.622270833333333,7.10475,-1.258333333333324,219.46445833333334
SE-Hmr,2021-09-27,8.547645833333334,8.121145833333333,-1.94062499999999,187.39479166666666
SE-Hmr,2021-09-28,7.654916666666667,8.099145833333333,-2.5114583333333234,69.6580625
SE-Hmr,2021-09-29,6.824604166666667,8.248854166666666,-2.98749999999999,44.3026875
SE-Hmr,2021-09-30,6.573145833333333,8.0033125,-3.2989583333333234,40.35339583333333
SE-Hmr,2021-10-01,7.212583333333333,7.733791666666667,-2.7395833333333233,24.521416666666667
SE-Hmr,2021-10-02,9.027041666666667,8.467916666666667,-2.2052083333333234,21.899541666666668
SE-Hmr,2021-10-03,8.089125,8.280520833333334,-2.9666666666666566,18.3125
SE-Hmr,2021-10-04,9.588958333333334,8.856979166666667,-1.6395833333333243,25.376666666666665
SE-Hmr,2021-10-05,9.085416666666667,9.226979166666666,-2.19999999999999,65.2619375
SE-Hmr,2021-10-06,8.455875,9.011875,-0.6666666666666604,10.891333333333334
SE-Hmr,2021-10-07,8.81075,9.202708333333334,-0.21458333333332869,115.10520833333334
SE-Hmr,2021-10-08,5.983291666666666,7.6085520833333335,-0.8749999999999942,46.921749999999996
SE-Hmr,2021-10-09,9.993541666666667,7.2796666666666665,-1.5083333333333233,160.61839583333332
SE-Hmr,2021-10-10,9.479520833333334,8.744583333333333,-2.0427083333333234,43.81252083333334
SE-Hmr,2021-10-11,5.927979166666667,8.454041666666667,-2.1208333333333234,99.15341666666667
SE-Hmr,2021-10-12,4.068395833333334,6.700770833333333,-2.64374999999999,126.14558333333333
SE-Hmr,2021-10-13,0.33812499999999995,4.6345625,-2.9864583333333234,143.589375
SE-Hmr,2021-10-14,2.8523958333333335,3.55271875,-2.7989583333333234,19.9874375
SE-Hmr,2021-10-15,3.0623674811108685,4.593903729817731,-1.3837874314399712,15.836874347522468
SE-Hmr,2021-10-16,0.3373413582877516,2.867642442748124,-1.252991529546614,66.11828566678325
SE-Hmr,2021-10-17,0.43954166666666666,2.3493020833333333,-1.54374999999999,112.79272916666667
SE-Hmr,2021-10-18,0.46749999999999997,2.18240625,-1.88124999999999,109.72854166666667
SE-Hmr,2021-10-19,-2.6352291666666665,1.877625,-2.4666666666666566,91.29245833333333
SE-Hmr,2021-10-20,2.7523125,1.6738020833333334,-0.1802083333333281,25.096666666666668
SE-Hmr,2021-10-21,-1.0542291666666668,1.5046354166666667,0.16875000000000412,34.6733125
SE-Hmr,2021-10-22,-2.0671666666666666,1.4306041666666667,-0.371874999999995,34.53604166666667
SE-Hmr,2021-10-23,-5.326625,1.186,-0.8958333333333268,108.72970833333333
SE-Hmr,2021-10-24,-2.235895833333333,1.137875,-1.3333333333333248,31.814604166666665
SE-Hmr,2021-10-25,1.2314583333333333,1.1309270833333334,-0.9697916666666597,75.8163125
SE-Hmr,2021-10-26,1.4293958333333334,1.1807395833333334,-1.3687499999999948,46.34577083333333
SE-Hmr,2021-10-27,0.7793125,1.1508229166666666,-1.1166666666666598,22.586041666666667
SE-Hmr,2021-10-28,1.895375,1.19590625,-0.9872441634301995,29.370708333333333
SE-Hmr,2021-10-29,4.562955770294928,1.4527688067131765,-0.6345267908408615,34.42288706467203
SE-Hmr,2021-10-30,4.5069791666666665,2.4675,-0.011458333333328779,16.323604166666666
SE-Hmr,2021-10-31,3.4814375,2.9273854166666666,0.030208333333337938,16.325541666666666
SE-Hmr,2021-11-01,4.527855953534546,3.6604528427223983,0.0030723399275626186,14.031297985966305
SE-Hmr,2021-11-02,6.392625,5.0391875,-0.474999999999995,6.6518125
SE-Hmr,2021-11-03,4.781166666666667,5.1888125,-0.7156249999999951,5.7195625
SE-Hmr,2021-11-04,3.3491041666666668,4.81575,-0.23958333333332849,9.424416666666666
SE-Hmr,2021-11-05,1.4424166666666667,4.133489583333334,-0.6635416666666617,30.867395833333333
SE-Hmr,2021-11-06,-0.1671875,2.35175,-1.0770833333333245,55.274499999999996
SE-Hmr,2021-11-07,-2.961854166666667,1.62359375,-1.248958333333325,27.2904375
SE-Hmr,2021-11-08,-7.2094375,1.3498020833333333,-0.513541666666663,50.4971875
SE-Hmr,2021-11-09,-3.4065,1.1695625,0.05833333333333339,9.920854166666667
SE-Hmr,2021-11-10,0.09760416666666667,1.0913958333333333,0.354166666666665,57.61216666666667
SE-Hmr,2021-11-11,0.5803125,1.0579270833333334,0.4406249999999995,24.865104166666665
SE-Hmr,2021-11-12,0.42750000000000005,1.0239479166666667,-0.038541666666666106,41.069270833333334
SE-Hmr,2021-11-13,-3.9700416666666665,0.9668333333333333,-0.21874999999999856,39.42947916666667
SE-Hmr,2021-11-14,-6.136875,0.9524166666666667,0.6729166666666652,37.53277083333333
SE-Hmr,2021-11-15,-1.4140833333333334,0.951,1.2364583333333332,24.2111875
SE-Hmr,2021-11-16,1.0194583333333334,0.9418124999999999,1.4385416666666666,17.654625
SE-Hmr,2021-11-17,1.7905208333333333,0.9379166666666666,2.345833333333339,7.5885
SE-Hmr,2021-11-18,-0.22729166666666667,0.9123645833333334,2.1479166666666734,29.652833333333334
SE-Hmr,2021-11-19,-1.0927499999999999,0.87846875,2.3270833333333334,11.454854166666667
SE-Hmr,2021-11-20,-0.24160416666666668,0.8192291666666667,2.891666666666676,25.704875
SE-Hmr,2021-11-21,-5.0785833333333334,0.7180520833333334,3.4093750000000114,24.455666666666666
SE-Hmr,2021-11-22,-6.8588125,0.56225,4.16562500000002,8.296395833333333
SE-Hmr,2021-11-23,-3.855166666666667,0.44405208333333335,4.123958333333352,7.920145833333334
SE-Hmr,2021-11-24,-3.335375,0.39779166666666665,3.2135416666666834,14.1695
SE-Hmr,2021-11-25,-6.426645833333334,0.3808125,4.623958333333354,8.568979166666667
SE-Hmr,2021-11-26,-16.121666666666666,0.3695625,4.392708333333354,19.84027083333333
SE-Hmr,2021-11-27,-17.304583333333333,0.36494791666666665,3.6979166666666834,3.947458333333333
SE-Hmr,2021-11-28,-13.26375,0.3734375,3.6062500000000126,3.09075
SE-Hmr,2021-11-29,-10.356666666666667,0.38103125,3.868750000000017,6.671208333333333
